source,doc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,40,43,45,47,49,53,54,57,68,191,193,39,41,44,46,51,56,59,64,65,74,75,79,86,96,97,105,108,110,113,120,121,123,129,130,139,147,154,182,237,84,42,48,52,71,73,83,90,104,62,58,177,50,61,67,69,76,78,87,92,95,98,99,102,112,114,122,131,142,151,157,164,174,180,187,188,238,259,295
news,mean,0.02,0.191,0.201,0.132,0.086,0.095,0.069,0.056,0.045,0.031,0.023,0.017,0.011,0.007,0.005,0.003,0.002,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
news,std,0.033,0.037,0.042,0.036,0.028,0.028,0.024,0.022,0.02,0.016,0.014,0.012,0.009,0.008,0.006,0.005,0.005,0.004,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essays,mean,0.006,0.2,0.21,0.143,0.077,0.108,0.062,0.056,0.045,0.029,0.021,0.016,0.01,0.005,0.003,0.003,0.002,0.001,0.001,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essays,std,0.007,0.021,0.021,0.022,0.015,0.019,0.015,0.012,0.012,0.01,0.008,0.007,0.007,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parliament,mean,0.019,0.198,0.214,0.131,0.071,0.086,0.063,0.07,0.046,0.034,0.022,0.016,0.011,0.006,0.004,0.003,0.002,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parliament,std,0.036,0.058,0.068,0.061,0.05,0.047,0.046,0.049,0.038,0.032,0.026,0.02,0.018,0.011,0.014,0.008,0.006,0.005,0.004,0.004,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitter,mean,0.052,0.144,0.175,0.157,0.079,0.085,0.059,0.047,0.04,0.029,0.025,0.02,0.017,0.013,0.011,0.009,0.001,0.001,0.001,0.005,0.001,0.017,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitter,std,0.096,0.122,0.139,0.134,0.102,0.106,0.097,0.083,0.082,0.07,0.07,0.063,0.063,0.057,0.051,0.046,0.016,0.017,0.017,0.038,0.01,0.068,0.034,0.006,0.005,0.013,0.004,0.003,0.003,0.002,0.002,0.001,0.005,0.001,0.005,0.001,0.012,0.001,0.001,0.002,,,,0.001,,0.001,,,,0.001,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.001,0.001,0.003,0.002,0.001,0.005,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
literature,mean,0.021,0.187,0.245,0.176,0.097,0.097,0.054,0.04,0.029,0.02,0.013,0.008,0.005,0.003,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
