source,doc,1,2,3,4,5,8,9,10,11,6,7,12,13,14,17,15,21,18,23,16,27,19,20,22,40,26
reviews,mean,0.045,0.243,0.138,0.163,0.103,0.059,0.034,0.028,0.013,0.077,0.083,0.008,0.003,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews,std,0.059,0.102,0.08,0.096,0.078,0.065,0.051,0.05,0.032,0.069,0.075,0.026,0.014,0.006,0.003,0.007,0.001,0.0,0.001,0.003,0.0,0.0,0.0,0.0,0.0,0.0
tweets,mean,0.081,0.208,0.112,0.132,0.096,0.07,0.043,0.047,0.024,0.067,0.075,0.015,0.021,0.003,0.001,0.002,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0
tweets,std,0.081,0.097,0.08,0.077,0.083,0.068,0.055,0.059,0.044,0.064,0.075,0.032,0.038,0.015,0.006,0.012,0.008,0.004,0.003,0.009,0.003,0.006,0.005,0.003,0.001,0.001
