source,doc,adp,adv,aux,det,noun,pron,punct,sconj,verb,adj,num,propn,cconj,x,intj,sym
reviews,mean,0.114,0.112,0.039,0.106,0.198,0.075,0.093,0.011,0.11,0.087,0.009,0.011,0.033,0.001,0.0,0.0
reviews,std,0.067,0.085,0.043,0.058,0.086,0.068,0.073,0.021,0.066,0.078,0.024,0.03,0.037,0.007,0.003,0.002
tweets,mean,0.13,0.028,0.021,0.11,0.283,0.036,0.102,0.004,0.08,0.085,0.013,0.083,0.017,0.007,0.0,0.001
tweets,std,0.07,0.046,0.034,0.062,0.094,0.055,0.075,0.014,0.064,0.07,0.03,0.081,0.03,0.026,0.002,0.008
