source,doc,.,',!,"""",#,$,%,&,(,),*,+,",",-,/,:,;,<,=,>,?,@,[,\,],^,_,`,{,|,},~
reviews,mean,0.356,0.195,0.068,0.005,0.0,0.0,0.001,0.0,0.01,0.011,0.0,0.002,0.161,0.013,0.004,0.008,0.003,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews,std,0.343,0.264,0.191,0.045,0.0,0.0,0.013,0.015,0.044,0.045,0.008,0.034,0.241,0.071,0.041,0.048,0.036,0.006,0.011,0.002,0.056,0.0,0.005,0.0,0.005,0.002,0.001,0.0,0.0,0.0,0.0,0.0
tweets,mean,0.132,0.14,0.033,0.028,0.188,0.001,0.003,0.006,0.01,0.011,0.0,0.002,0.075,0.054,0.009,0.121,0.007,0.0,0.002,0.0,0.006,0.12,0.003,0.0,0.003,0.0,0.001,0.0,0.0,0.016,0.0,0.0
tweets,std,0.229,0.209,0.114,0.107,0.264,0.016,0.035,0.036,0.047,0.049,0.003,0.02,0.153,0.145,0.056,0.214,0.041,0.0,0.022,0.0,0.042,0.208,0.024,0.0,0.024,0.006,0.017,0.0,0.0,0.076,0.0,0.003
