source,doc,nsubj,cop,case,ROOT,punct,advmod,cc,det,obj,mark,fixed,iobj,acl:relcl,expl:subj,aux:tense,obl:arg,nummod,nmod,obl:mod,aux:pass,ccomp,advcl,expl:comp,xcomp,conj,acl,dep,amod,obl:agent,nsubj:pass,flat:name,parataxis,expl:pass,appos,vocative,flat:foreign
reviews,mean,0.062,0.019,0.092,0.112,0.092,0.108,0.032,0.103,0.045,0.028,0.009,0.004,0.006,0.005,0.014,0.022,0.008,0.048,0.023,0.005,0.005,0.013,0.006,0.018,0.033,0.012,0.007,0.057,0.001,0.004,0.001,0.001,0.001,0.002,0.0,0.0
reviews,std,0.05,0.029,0.063,0.081,0.069,0.085,0.037,0.057,0.046,0.037,0.027,0.012,0.015,0.013,0.027,0.035,0.021,0.054,0.033,0.016,0.013,0.024,0.016,0.03,0.038,0.027,0.021,0.068,0.007,0.013,0.009,0.008,0.006,0.01,0.001,0.004
tweets,mean,0.039,0.01,0.125,0.16,0.101,0.026,0.018,0.109,0.039,0.012,0.005,0.002,0.004,0.003,0.004,0.02,0.007,0.133,0.014,0.002,0.001,0.004,0.003,0.01,0.02,0.014,0.01,0.076,0.001,0.002,0.011,0.003,0.001,0.008,0.0,0.001
tweets,std,0.045,0.024,0.072,0.095,0.073,0.044,0.03,0.062,0.048,0.026,0.02,0.01,0.015,0.011,0.014,0.035,0.022,0.099,0.029,0.01,0.008,0.015,0.014,0.024,0.034,0.029,0.026,0.066,0.009,0.01,0.028,0.013,0.007,0.022,0.002,0.01
