source,doc,2,3,4,5,6,7,8,9,10,11,15,27,1,12,13,14,16,18,21,23,33,17,20,19,22,24,25,29,26,28,31,30,32,38,36,39,34,44,35,37,76,50,40,41,61,88,72,42,58,71,64,55,90,43
news,mean,0.076,0.25,0.121,0.107,0.094,0.074,0.059,0.049,0.042,0.035,0.01,0.0,0.002,0.024,0.017,0.013,0.008,0.004,0.002,0.001,0.0,0.005,0.002,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
news,std,0.022,0.032,0.03,0.026,0.025,0.022,0.02,0.018,0.017,0.017,0.008,0.001,0.006,0.012,0.01,0.009,0.008,0.005,0.003,0.002,0.0,0.006,0.004,0.004,0.003,0.002,0.002,0.001,0.002,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews,mean,0.062,0.258,0.158,0.151,0.105,0.065,0.06,0.046,0.03,0.022,0.003,0.0,0.009,0.014,0.007,0.005,0.001,0.001,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews,std,0.058,0.103,0.087,0.09,0.079,0.062,0.064,0.058,0.044,0.041,0.015,0.001,0.026,0.033,0.021,0.019,0.009,0.006,0.002,0.001,0.0,0.013,0.003,0.007,0.005,0.001,0.004,0.0,0.007,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0
twitter,mean,0.064,0.151,0.173,0.212,0.099,0.061,0.048,0.039,0.031,0.02,0.004,0.0,0.051,0.015,0.011,0.006,0.004,0.001,0.001,0.001,0.0,0.003,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twitter,std,0.085,0.13,0.128,0.172,0.11,0.084,0.079,0.078,0.068,0.054,0.022,0.005,0.096,0.051,0.044,0.029,0.03,0.01,0.007,0.01,0.002,0.025,0.01,0.015,0.004,0.009,0.003,0.003,0.005,0.004,0.0,0.0,0.003,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.001
