source,doc,adj,adp,adv,aux,det,noun,part,pron,propn,punct,sconj,verb,cconj,num,x,intj
news,mean,0.053,0.115,0.075,0.048,0.119,0.206,0.011,0.04,0.073,0.122,0.011,0.082,0.022,0.02,0.003,0.0
news,std,0.019,0.024,0.028,0.017,0.024,0.033,0.008,0.021,0.044,0.026,0.008,0.016,0.011,0.019,0.009,0.0
reviews,mean,0.038,0.07,0.189,0.065,0.091,0.16,0.029,0.07,0.011,0.123,0.01,0.098,0.029,0.01,0.005,0.0
reviews,std,0.054,0.051,0.102,0.049,0.056,0.074,0.04,0.061,0.032,0.067,0.019,0.059,0.034,0.025,0.021,0.004
twitter,mean,0.06,0.046,0.125,0.027,0.04,0.188,0.015,0.042,0.133,0.167,0.005,0.075,0.013,0.012,0.051,0.002
twitter,std,0.087,0.059,0.119,0.046,0.054,0.125,0.038,0.066,0.149,0.112,0.016,0.071,0.034,0.035,0.101,0.014
