source,doc,.,-,",",:,!,"""",#,$,%,&,',(,),*,+,/,;,<,=,>,?,@,[,\,],^,_,`,{,|,},~
news,mean,0.429,0.125,0.324,0.038,0.002,0.008,0.001,0.0,0.0,0.001,0.0,0.029,0.029,0.0,0.0,0.007,0.001,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
news,std,0.111,0.086,0.111,0.051,0.01,0.028,0.007,0.0,0.002,0.007,0.002,0.037,0.037,0.002,0.006,0.019,0.006,0.0,0.001,0.002,0.019,0.004,0.001,0.002,0.001,0.0,0.002,0.0,0.0,0.006,0.0,0.0
reviews,mean,0.549,0.028,0.215,0.01,0.067,0.006,0.0,0.0,0.002,0.001,0.001,0.01,0.012,0.0,0.001,0.005,0.002,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reviews,std,0.345,0.093,0.25,0.049,0.188,0.044,0.002,0.001,0.023,0.014,0.016,0.043,0.048,0.014,0.019,0.038,0.026,0.0,0.009,0.006,0.049,0.0,0.0,0.001,0.0,0.002,0.0,0.015,0.0,0.0,0.0,0.004
twitter,mean,0.225,0.049,0.082,0.109,0.066,0.022,0.094,0.0,0.0,0.007,0.012,0.017,0.024,0.011,0.003,0.008,0.016,0.0,0.001,0.0,0.033,0.171,0.001,0.0,0.001,0.005,0.004,0.0,0.0,0.002,0.0,0.0
twitter,std,0.287,0.139,0.167,0.182,0.167,0.095,0.215,0.006,0.007,0.044,0.062,0.07,0.076,0.074,0.041,0.051,0.065,0.0,0.023,0.0,0.115,0.24,0.014,0.011,0.011,0.051,0.033,0.009,0.003,0.026,0.004,0.01
