source,doc,sb,ROOT,mo,nk,svp,punct,op,pnc,oc,mnr,oa,ag,cj,ng,da,rc,dep,pg,cd,pd,rs,ju,app,cp,ep,pm,sbp,cm,cc,cvc,par,re,nmc,ph,ac,ams,uc,dm,adc,og,vo,avc
news,mean,0.08,0.059,0.138,0.308,0.006,0.122,0.007,0.019,0.047,0.029,0.039,0.021,0.032,0.006,0.004,0.007,0.0,0.004,0.021,0.012,0.001,0.001,0.004,0.009,0.003,0.004,0.002,0.003,0.002,0.001,0.004,0.003,0.002,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0
news,std,0.015,0.011,0.029,0.046,0.005,0.026,0.007,0.022,0.02,0.013,0.014,0.012,0.017,0.006,0.004,0.005,0.001,0.005,0.011,0.008,0.004,0.002,0.005,0.007,0.004,0.005,0.003,0.004,0.003,0.005,0.009,0.003,0.005,0.001,0.002,0.002,0.004,0.0,0.0,0.0,0.0,0.0
reviews,mean,0.089,0.11,0.2,0.2,0.009,0.123,0.002,0.002,0.045,0.012,0.042,0.004,0.041,0.019,0.005,0.002,0.0,0.001,0.027,0.034,0.0,0.002,0.001,0.008,0.003,0.005,0.001,0.004,0.003,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0
reviews,std,0.051,0.062,0.091,0.093,0.022,0.065,0.01,0.013,0.044,0.026,0.043,0.014,0.042,0.032,0.016,0.007,0.004,0.006,0.034,0.043,0.003,0.009,0.007,0.016,0.012,0.017,0.004,0.018,0.013,0.003,0.009,0.006,0.001,0.006,0.005,0.006,0.003,0.002,0.0,0.002,0.001,0.0
twitter,mean,0.069,0.209,0.117,0.183,0.006,0.169,0.003,0.053,0.022,0.017,0.038,0.005,0.023,0.01,0.006,0.001,0.001,0.001,0.01,0.024,0.003,0.002,0.005,0.004,0.0,0.001,0.0,0.001,0.001,0.0,0.005,0.001,0.0,0.0,0.0,0.001,0.008,0.001,0.0,0.0,0.0,0.0
twitter,std,0.068,0.125,0.113,0.131,0.023,0.108,0.015,0.1,0.044,0.038,0.057,0.022,0.048,0.031,0.023,0.008,0.008,0.009,0.027,0.047,0.017,0.012,0.02,0.015,0.004,0.01,0.003,0.008,0.008,0.001,0.02,0.007,0.006,0.0,0.004,0.011,0.039,0.007,0.0,0.001,0.003,0.0
